id,text,label,student_context,source,is_sample_only
custom_academic_stress_082,"During the semester, I feel nervous before every lab evaluation and my heart races.",academic_stress,general,custom_seed_sample,True
custom_emotional_distress_153,"Today, I feel like I am disappointing everyone and I cannot handle it. I am sharing this anonymously.",emotional_distress,exam_week,custom_seed_sample,True
custom_academic_stress_139,"Today, I feel nervous before every lab evaluation and my heart races. I am sharing this anonymously.",academic_stress,financial_pressure,custom_seed_sample,True
custom_normal_150,"During the semester, The assignment deadline is reasonable and I understand the topic. I hope the university can support students.",normal,exam_week,custom_seed_sample,True
custom_emotional_distress_094,"During the semester, I am isolating myself and I do not want to talk to anyone. I am sharing this anonymously.",emotional_distress,advisor_feedback,custom_seed_sample,True
custom_normal_139,"This week, As a student, I feel motivated after the review session this week. Can someone guide me?",normal,family_issue,custom_seed_sample,True
custom_urgent_human_review_104,"After class, Please contact me urgently because I feel at risk and not safe.",urgent_human_review,advisor_feedback,custom_seed_sample,True
custom_academic_stress_013,"This week, I am afraid I will fail even though I study every day. I am sharing this anonymously.",academic_stress,financial_pressure,custom_seed_sample,True
custom_academic_stress_166,"Honestly, As a student, I need help planning my study time because everything feels urgent.",academic_stress,advisor_feedback,custom_seed_sample,True
custom_urgent_human_review_097,"This week, This is an emergency for me and I need human help immediately.",urgent_human_review,family_issue,custom_seed_sample,True
custom_emotional_distress_113,I feel empty and tired all the time even after resting.,emotional_distress,advisor_feedback,custom_seed_sample,True
custom_urgent_human_review_165,"Today, I do not feel extremely safe tonight and I need immediate help from someone....",urgent_human_review,general,custom_seed_sample,True
custom_academic_stress_106,"This week, I cannot stop worrying about the final project deadline. Can someone guide me?",academic_stress,general,custom_seed_sample,True
custom_urgent_human_review_157,"This week, I might hurt myself if I stay alone and I need urgent support. I hope the university can support students.",urgent_human_review,exam_week,custom_seed_sample,True
custom_urgent_human_review_052,"After class, Please contact me urgently because I feel very at risk and not safe.",urgent_human_review,family_issue,custom_seed_sample,True
custom_academic_stress_169,"During the semester, Personally, I have two exams and three assignments this week and I feel overwhelmed.",academic_stress,general,custom_seed_sample,True
custom_normal_011,"Today, The course materials are organized and helpful.",normal,financial_pressure,custom_seed_sample,True
custom_normal_097,I attended the lecture today and the examples were clear. I am sharing this anonymously.,normal,group_work,custom_seed_sample,True
custom_emotional_distress_026,"During the semester, I do not enjoy activities that used to make me happy.",emotional_distress,sleep,custom_seed_sample,True
custom_urgent_human_review_122,"As a student, I feel in danger from myself and need a counselor or trusted adult now. This has affected my attendance.",urgent_human_review,financial_pressure,custom_seed_sample,True
custom_urgent_human_review_090,"This week, This is an emergency for me and I need human help immediately....",urgent_human_review,group_work,custom_seed_sample,True
custom_academic_stress_129,"After class, The workload is too much and Personally, I do not know where to start. This has affected my attendance.",academic_stress,general,custom_seed_sample,True
