row_id,message_id,text,label,source,is_synthetic,pred
554,CHAL-ACA-0254,"I am not in danger, but the statistics lab report pressure is making it hard to sleep and study.",academic_stress,custom_challenge_set,True,emotional_distress
227,CHAL-NOR-0227,"Honestly, i am not requesting counseling; I only need technical help with opening the AI portal. Please keep my message private.",normal,custom_challenge_set,True,academic_stress
211,CHAL-NOR-0211,I am not requesting counseling; I only need technical help with opening the AI portal.,normal,custom_challenge_set,True,academic_stress
168,CHAL-NOR-0168,I am not requesting counseling; I only need technical help with opening the programming portal.,normal,custom_challenge_set,True,academic_stress
679,CHAL-EMO-0079,"I do not plan to hurt myself, but I feel worthless and need emotional support.",emotional_distress,custom_challenge_set,True,urgent_human_review
592,CHAL-ACA-0292,"I am not in danger, but the software engineering lab report pressure is making it hard to sleep and study.",academic_stress,custom_challenge_set,True,emotional_distress
311,CHAL-ACA-0011,"I am not in danger, but the software engineering presentation pressure is making it hard to sleep and study. Please keep my message private.",academic_stress,custom_challenge_set,True,emotional_distress
19,CHAL-NOR-0019,I am not requesting counseling; I only need technical help with opening the networks portal.,normal,custom_challenge_set,True,academic_stress
14,CHAL-NOR-0014,I am not requesting counseling; I only need technical help with opening the databases portal. Please keep my message private.,normal,custom_challenge_set,True,academic_stress
280,CHAL-NOR-0280,I am not requesting counseling; I only need technical help with opening the networks portal.,normal,custom_challenge_set,True,academic_stress
513,CHAL-ACA-0213,"I am not in danger, but the programming exam pressure is making it hard to sleep and study.",academic_stress,custom_challenge_set,True,emotional_distress
151,CHAL-NOR-0151,I am not requesting counseling; I only need technical help with opening the programming portal.,normal,custom_challenge_set,True,academic_stress
86,CHAL-NOR-0086,"Honestly, i am not requesting counseling; I only need technical help with opening the calculus portal. Please keep my message private.",normal,custom_challenge_set,True,academic_stress
210,CHAL-NOR-0210,"Honestly, my friend said the statistics project caused anxiety, but my message is just to ask about the rubric.",normal,custom_challenge_set,True,academic_stress
155,CHAL-NOR-0155,"Honestly, i am not requesting counseling; I only need technical help with opening the software engineering portal.",normal,custom_challenge_set,True,academic_stress
104,CHAL-NOR-0104,"Honestly, i am not requesting counseling; I only need technical help with opening the statistics portal. Please keep my message private.",normal,custom_challenge_set,True,academic_stress
179,CHAL-NOR-0179,"My friend said the networks deadline caused anxiety, but my message is just to ask about the rubric.",normal,custom_challenge_set,True,academic_stress
189,CHAL-NOR-0189,I am not requesting counseling; I only need technical help with opening the networks portal.,normal,custom_challenge_set,True,academic_stress
811,CHAL-EMO-0211,"I do not plan to hurt myself, but I feel worthless and need emotional support.",emotional_distress,custom_challenge_set,True,urgent_human_review
241,CHAL-NOR-0241,"Honestly, i am not requesting counseling; I only need technical help with opening the networks portal.",normal,custom_challenge_set,True,academic_stress
530,CHAL-ACA-0230,"I feel like I am failing everyone because of the exam; I need an academic plan, not crisis support. Please keep my message private.",academic_stress,custom_challenge_set,True,emotional_distress
